feature,grid_value,pdp_mean
make,Ford,12007.275009437522
make,Subaru,12957.647225368064
make,Chevrolet,12905.710268025672
make,Toyota,13232.515855039637
make,Dodge,12768.965458663646
make,Honda,12797.207814269535
make,Nissan,11404.435069837677
make,BMW,13710.966591166478
make,Mercedes-Benz,13163.633635334088
make,Audi,12677.114382785958
make,Jeep,13193.590222725556
make,ford,13095.460928652321
make,Hyundai,11424.569837674593
make,chevy,12892.067006417516
make,Volkswagen,12892.067006417516
make,honda,12737.044733861834
make,subaru,12808.718573046433
make,toyota,13452.213854284635
make,Lexus,17110.437901094752
make,Chevy,13311.449792374482
