feature,grid_value,pdp_mean
make,Ford,13813.730902777776
make,Subaru,13397.502387152776
make,Chevrolet,13446.294921875
make,Dodge,13029.337456597224
make,Toyota,13193.967447916666
make,Honda,13266.098524305555
make,Nissan,12043.13454861111
make,BMW,13485.60590277778
make,Mercedes-Benz,13672.768446180555
make,Jeep,13260.068359375
make,Audi,13365.19748263889
make,Hyundai,12456.72612847222
make,ford,13182.585069444443
make,Volkswagen,12885.072916666666
make,chevy,11017.690755208334
make,honda,13182.585069444443
make,toyota,13265.954210069443
make,Lexus,15184.21072048611
make,Land Rover,14031.513020833334
make,Chevy,13182.585069444443
