feature,grid_value,pdp_mean
mileage_num,22951.850000000006,11670.035671271697
mileage_num,45627.32631578947,16632.979348211124
mileage_num,60000.0,12014.345377258236
mileage_num,71388.0,10919.426496634784
mileage_num,80930.73157894735,12327.268787004707
mileage_num,88435.75,11349.157633722989
mileage_num,94823.68421052632,12003.12681544456
mileage_num,105621.19736842105,12661.544102019128
mileage_num,112885.0,11410.559953949698
mileage_num,118000.0,11063.025947573502
mileage_num,123073.94736842105,11341.016826071555
mileage_num,129550.0,12011.177116542687
mileage_num,133000.0,10182.395678356359
mileage_num,140000.0,10594.109280906836
mileage_num,148294.86842105264,11650.737159050655
mileage_num,150000.0,11811.579879560752
mileage_num,160000.0,12303.586255756287
mileage_num,170000.0,8263.003188097768
mileage_num,181000.0,8086.920297555792
mileage_num,205007.44999999998,7633.733970952886
