feature,grid_value,pdp_mean
mileage_num,22453.800000000003,16537.443113772457
mileage_num,44358.56842105263,15112.82754491018
mileage_num,59985.0,14058.722754491018
mileage_num,70938.18947368421,10010.234131736526
mileage_num,79649.22105263158,14982.868463073853
mileage_num,86540.0,11905.66506986028
mileage_num,92276.0,10895.293013972056
mileage_num,103473.6842105263,11325.532534930138
mileage_num,108944.78947368421,9639.879540918164
mileage_num,115393.85263157889,10790.80628742515
mileage_num,120049.36842105263,10434.080538922155
mileage_num,125077.00000000001,9522.39011976048
mileage_num,130000.0,10776.429241516968
mileage_num,139000.0,9010.893213572854
mileage_num,144468.7578947368,9483.18263473054
mileage_num,150000.0,11023.334930139723
mileage_num,159537.74736842103,10120.42914171657
mileage_num,170000.0,7835.1207584830345
mileage_num,180000.0,7275.384431137724
mileage_num,201115.59999999998,9268.62754491018
