feature,grid_value,pdp_mean
year_num,1988.4,11797.047593958552
year_num,2002.0,7776.371970495258
year_num,2005.0,8627.84966631542
year_num,2007.0,8507.583684580259
year_num,2009.0,9147.633210396909
year_num,2011.0,9634.936160871091
year_num,2012.0,9451.970056199507
year_num,2013.0,9119.286441868633
year_num,2014.0,10468.234896382159
year_num,2015.0,12121.255268703899
year_num,2016.0,12091.395943097998
year_num,2016.0736842105262,12091.395943097998
year_num,2018.0,15971.608008429926
year_num,2019.0,16639.597822269054
year_num,2020.0,16454.055145767474
year_num,2022.0,22699.135405690202
