feature,grid_value,pdp_mean
make,Ford,13470.719178082192
make,Subaru,13014.672637864418
make,Chevrolet,12986.513083948017
make,Dodge,13144.58956796628
make,Toyota,13177.83789954338
make,Honda,12555.273621355813
make,Nissan,11625.829820864068
make,BMW,13807.511239901653
make,Mercedes-Benz,13340.518967334036
make,Audi,12931.146996838777
make,Hyundai,12000.986125746398
make,Jeep,13258.206533192835
make,ford,12907.300842992623
make,chevy,11500.948366701792
make,subaru,12860.433614330874
make,Volkswagen,12864.61556023885
make,toyota,13701.341587636107
make,Lexus,16649.190024587282
make,CHEVROLET,12907.300842992623
make,honda,12911.515806111696
