feature,grid_value,pdp_mean
mileage_num,22240.350000000006,11506.397708557106
mileage_num,44898.19736842105,16732.020694593626
mileage_num,59991.90789473684,12759.184031507339
mileage_num,71241.0,10865.40887934121
mileage_num,80282.63157894734,18326.443839189815
mileage_num,88133.0,10519.913712853564
mileage_num,94000.0,12185.878625134264
mileage_num,105294.15789473684,13643.731113498032
mileage_num,111422.85789473684,11889.208646616542
mileage_num,117455.0,10863.554869316149
mileage_num,123000.0,11683.881847475832
mileage_num,129476.18421052632,10932.525778732546
mileage_num,133000.0,10279.360544217687
mileage_num,140000.0,10922.504296455425
mileage_num,148533.2657894737,11723.74955245256
mileage_num,150000.0,11998.341031149303
mileage_num,160480.25526315786,11489.743465807376
mileage_num,170000.0,9141.392141066954
mileage_num,181278.90526315785,8102.899570354458
mileage_num,205081.94999999998,7678.082885785892
