feature,grid_value,pdp_mean
make,Ford,13266.169351951308
make,Subaru,13115.455245255996
make,Chevrolet,13022.84022556391
make,Dodge,15309.448084496957
make,Toyota,13225.248478338704
make,Honda,12632.404940923738
make,Nissan,11934.51664876477
make,BMW,13871.848728965271
make,Mercedes-Benz,13242.85678481919
make,Audi,12818.904761904763
make,Jeep,13082.90708915145
make,ford,13512.788041532403
make,Hyundai,12505.41747225206
make,chevy,12794.737200143216
make,subaru,12641.484067311134
make,Lexus,15843.150733977802
make,Volkswagen,12787.003580379522
make,toyota,14085.19083422843
make,honda,12794.737200143216
make,Chevy,12789.500895094881
