feature,grid_value,pdp_mean
year_num,1989.7,11143.080838323353
year_num,2002.0,7706.825748502994
year_num,2005.0,8074.10119760479
year_num,2007.2157894736843,7721.702195608782
year_num,2009.0,8556.093013972055
year_num,2011.0,9548.603992015967
year_num,2012.0,9514.472255489021
year_num,2013.0,9217.975449101796
year_num,2014.0,10202.431736526945
year_num,2015.0,11786.16516966068
year_num,2016.0,11910.547205588824
year_num,2017.0,13710.321856287424
year_num,2018.0,16791.336726546906
year_num,2019.0,16791.336726546906
year_num,2020.0,16038.6500998004
year_num,2022.0,21221.785029940118
