feature,grid_value,pdp_mean
make,Ford,13058.413744243711
make,Subaru,12871.283740701381
make,Chevrolet,12970.028869996457
make,Dodge,15140.478923131419
make,Toyota,13064.61477151966
make,Honda,12492.764257881687
make,Nissan,11793.241852639036
make,BMW,13405.007616011337
make,Mercedes-Benz,13004.371767623095
make,Audi,12527.514523556501
make,Jeep,12843.342543393552
make,ford,13242.74796315976
make,Hyundai,12317.329436769394
make,chevy,12503.914984059511
make,subaru,12527.514523556501
make,Lexus,15154.880446333687
make,Volkswagen,12527.514523556501
make,toyota,14019.003188097768
make,GMC,13663.954658165074
make,honda,12460.56447042154
