feature,grid_value,pdp_mean
make,Ford,13501.891758241758
make,Subaru,12904.186355311354
make,Chevrolet,12994.492765567766
make,Dodge,12974.503205128205
make,Toyota,12824.00998168498
make,Honda,12704.852838827837
make,Nissan,11424.995054945055
make,BMW,13640.979761904762
make,Mercedes-Benz,13006.919871794873
make,Audi,12663.232692307693
make,Jeep,12950.243681318681
make,ford,12666.173351648351
make,Hyundai,11806.466025641024
make,chevy,11396.475
make,Volkswagen,12399.621336996337
make,toyota,13066.279395604395
make,Lexus,15777.084523809523
make,honda,12663.232692307693
make,subaru,12690.70521978022
make,Chevy,12663.232692307693
