feature,grid_value,pdp_mean
year_num,1992.7,11680.509677419355
year_num,2002.0,9149.748602150537
year_num,2005.0,9832.580430107526
year_num,2007.0,10553.131612903226
year_num,2009.0,12168.09935483871
year_num,2011.0,9564.367956989247
year_num,2012.0,9442.149569892474
year_num,2013.0,9270.793333333333
year_num,2014.0,10435.005806451612
year_num,2015.0,12204.847526881718
year_num,2016.0,12855.495913978495
year_num,2018.0,15792.146795698924
year_num,2019.0,15607.300006144393
year_num,2020.0,15367.932264208908
year_num,2022.0,18661.647096774195
