feature,grid_value,pdp_mean
year_num,1988.0,11684.67508055854
year_num,2002.0,7420.484246330112
year_num,2005.0,7662.0452918009305
year_num,2007.0,8042.573218761188
year_num,2009.0,9146.095864661655
year_num,2010.0,9287.314983888293
year_num,2011.0,9207.857411385607
year_num,2012.0,9780.501253132832
year_num,2013.0,10910.85051915503
year_num,2014.0,11221.181256713211
year_num,2015.0,11937.383637665595
year_num,2016.0,12131.520264948085
year_num,2018.0,16730.76740320188
year_num,2019.0,16730.76740320188
year_num,2020.0,16438.372129302847
year_num,2022.0,22964.070712495522
