feature,grid_value,pdp_mean
year_num,1993.0,11935.194193487672
year_num,2002.0,8693.353642840535
year_num,2005.0394736842106,9071.725978731414
year_num,2008.0,9818.992456606436
year_num,2009.0,9818.992456606436
year_num,2011.0,9778.986417959093
year_num,2012.0,9778.986417959093
year_num,2013.0,9857.501580545866
year_num,2014.0,10892.541046903398
year_num,2015.0,12403.941291772031
year_num,2016.0,12367.705358268195
year_num,2018.0,16020.47696597946
year_num,2019.0,16020.47696597946
year_num,2020.0,16020.47696597946
year_num,2022.0,20172.53846973572
