feature,grid_value,pdp_mean
make,Ford,14298.982044120025
make,Subaru,12816.183741902623
make,Chevrolet,12816.183741902623
make,Dodge,12750.438643863408
make,Toyota,12946.877805298733
make,Honda,12816.183741902623
make,Nissan,11531.292110268665
make,BMW,13388.4471690126
make,Mercedes-Benz,12816.183741902623
make,Jeep,12987.77368222658
make,Audi,12816.183741902623
make,Hyundai,12248.31693007801
make,ford,12816.183741902623
make,Volkswagen,12816.183741902623
make,chevy,11343.258265770133
make,honda,12816.183741902623
make,toyota,12816.183741902623
make,Lexus,16485.454720245365
make,Land Rover,13605.07875469035
make,Chevy,12824.708891092736
