feature,grid_value,pdp_mean
mileage_num,27018.60000000001,12146.685356811862
mileage_num,47894.86315789474,9912.59715786222
mileage_num,60183.47368421053,10399.345999382145
mileage_num,72901.35789473684,15633.044485634848
mileage_num,82648.8947368421,13979.405203230504
mileage_num,90000.0,11967.927247451344
mileage_num,98308.47368421052,13307.465400061785
mileage_num,106743.0,14342.442848316343
mileage_num,113946.0,12997.586963237567
mileage_num,118290.0,11948.143883225208
mileage_num,123897.0,11623.78514056225
mileage_num,130000.0,12478.320203892494
mileage_num,135100.0,11473.653878672585
mileage_num,142000.0,11313.313131066776
mileage_num,150000.0,12900.197283059362
mileage_num,151326.3157894736,12756.956010275922
mileage_num,164647.36842105258,10128.039079394503
mileage_num,171370.7894736842,8486.237720111214
mileage_num,182231.57894736834,9015.182576459685
mileage_num,205319.19999999995,8961.237102255174
