feature,grid_value,pdp_mean
mileage_num,23023.0,14042.862211221123
mileage_num,45382.915789473685,14878.475247524753
mileage_num,59985.0,11016.924917491748
mileage_num,71241.0,13754.198019801981
mileage_num,80000.0,16100.702145214522
mileage_num,88000.0,13421.740181518151
mileage_num,93901.11578947367,12394.104867986798
mileage_num,105189.0,12534.691831683169
mileage_num,111420.82105263158,12531.999587458746
mileage_num,117471.16842105263,12015.54117161716
mileage_num,122343.00000000003,12277.83704620462
mileage_num,129000.0,11084.226485148514
mileage_num,132208.8947368421,12469.914933993397
mileage_num,140000.0,11120.172524752476
mileage_num,146911.0526315789,13005.823432343233
mileage_num,150000.0,12974.6199669967
mileage_num,160000.0,14184.886303630365
mileage_num,170000.0,9037.44075907591
mileage_num,180000.0,9189.33300330033
mileage_num,203799.99999999974,8318.424587458747
