feature,grid_value,pdp_mean
model,Neon,12902.07930107527
model,Outback,12900.14811827957
model,Silverado 1500,14480.388261648744
model,silverado 1500,10877.321953405017
model,Forester,13098.261559139784
model,accord,12902.07930107527
model,Camry,10717.46630824373
model,Elantra,12843.649193548386
model,Fusion,12902.07930107527
model,F-150,17545.9311827957
model,Rogue,12902.07930107527
model,Grand Caravan,12902.07930107527
model,Q3,13059.946057347668
model,tlx,9683.67383512545
model,Impreza,12902.07930107527
model,Civic Sedan,12902.07930107527
model,GLK-Class,12902.07930107527
model,Q50,12902.07930107527
model,Pilot,13359.796863799282
model,Grand Cherokee,12902.07930107527
