feature,grid_value,pdp_mean
mileage_num,21565.0,15676.98477929985
mileage_num,43395.53421052632,21332.006468797565
mileage_num,59533.68421052632,16479.118531202435
mileage_num,70892.79736842104,13728.71194824962
mileage_num,79700.0,16273.364155251142
mileage_num,86922.99736842101,12692.77796803653
mileage_num,92276.0,12837.188356164384
mileage_num,105000.0,13784.874809741248
mileage_num,110000.0,11976.335235920853
mileage_num,116669.0,11808.312595129375
mileage_num,120329.20526315788,11785.892123287671
mileage_num,126000.0,11753.760273972603
mileage_num,130759.0,11500.748858447489
mileage_num,139096.93684210526,10797.306697108068
mileage_num,145595.76842105263,11068.51103500761
mileage_num,150000.0,11077.024353120241
mileage_num,160000.0,12169.812404870625
mileage_num,170000.0,9479.018645357688
mileage_num,180000.0,8924.662480974124
mileage_num,201041.89999999988,10049.805555555555
