feature,grid_value,pdp_mean
mileage_num,23023.0,14577.80376028202
mileage_num,45036.09210526316,13513.390520955736
mileage_num,59985.0,12436.371327849589
mileage_num,70668.73421052631,14066.66803760282
mileage_num,79633.0,22986.11868390129
mileage_num,86540.0,11549.349686643163
mileage_num,92276.0,11004.633078730905
mileage_num,103960.52631578942,12349.510086173128
mileage_num,108912.9342105263,11545.836760673716
mileage_num,115212.0,11108.420485703095
mileage_num,120042.55263157895,10498.801214257737
mileage_num,125547.75,10443.924794359576
mileage_num,130674.47368421052,11263.999412455934
mileage_num,139096.0,10409.551312181748
mileage_num,145048.04736842104,11619.194281237758
mileage_num,150000.0,11140.214257735995
mileage_num,158000.0,10578.354484919704
mileage_num,170000.0,7504.513513513513
mileage_num,180000.0,7235.126517822169
mileage_num,200289.3,6897.434586760674
