feature,grid_value,pdp_mean
year_num,1989.25,11753.561324303986
year_num,2002.0,8173.278781038374
year_num,2005.0,9949.273890142964
year_num,2007.0131578947369,8976.283860045147
year_num,2009.0,9427.365124153497
year_num,2011.0,9635.007712565839
year_num,2012.0,9567.589164785553
year_num,2012.6973684210525,9293.28028592927
year_num,2013.0,9293.28028592927
year_num,2014.0,10696.713882618511
year_num,2015.0,12369.736455981942
year_num,2016.0,12245.50865312265
year_num,2017.0,13193.771068472535
year_num,2018.0,15490.303772976458
year_num,2019.0,17892.23833709556
year_num,2020.0,16750.71181339353
year_num,2022.0,23396.283860045147
