feature,grid_value,pdp_mean
mileage_num,21515.0,14275.36155003762
mileage_num,43280.20263157895,21373.538562829195
mileage_num,59082.0,13391.022761474795
mileage_num,70473.45263157894,19512.030662151996
mileage_num,79633.0,16168.084273890143
mileage_num,86540.0,12887.879420617004
mileage_num,92276.0,12815.069413092551
mileage_num,103934.21052631579,13131.963506395785
mileage_num,109000.0,11635.023137697517
mileage_num,116442.17631578943,11659.168924003012
mileage_num,120166.38157894736,11762.886756960123
mileage_num,126000.0,11474.159330323553
mileage_num,130759.0,11155.22272385252
mileage_num,139096.0,10711.879635601417
mileage_num,145523.0,12153.358567128884
mileage_num,150000.0,11938.626625819628
mileage_num,160000.0,11063.537461034075
mileage_num,170000.0,9511.678705793829
mileage_num,180000.0,9097.057938299475
mileage_num,200447.09999999995,8689.676448457487
