feature,grid_value,pdp_mean
make,Ford,12705.19966677416
make,Subaru,13511.500080619155
make,Chevrolet,13539.518327421263
make,Toyota,13473.852601311404
make,Dodge,13618.209072342255
make,Honda,13527.261085133827
make,Nissan,12109.84507685693
make,BMW,14007.57476082984
make,Mercedes-Benz,13511.365957218102
make,Audi,13304.00139739869
make,Hyundai,12381.579382994734
make,Jeep,13524.40207459959
make,ford,13300.750833064603
make,chevy,11985.753090400947
make,Volkswagen,13008.852789422766
make,toyota,13782.219982801249
make,subaru,13304.00139739869
make,Lexus,17187.980248306998
make,honda,13304.00139739869
make,Chevy,13459.545039234657
