feature,grid_value,pdp_mean
model,Neon,11454.395430071938
model,Outback,11540.62156538241
model,Silverado 1500,13600.59422525266
model,silverado 1500,9446.80862129838
model,Elantra,11448.695708107154
model,accord,11454.395430071938
model,Forester,11464.881991703078
model,Camry,9224.993512511584
model,Fusion,11454.395430071938
model,F-150,12523.539697250539
model,Rogue,11454.395430071938
model,Grand Caravan,11454.395430071938
model,Impreza,11454.395430071938
model,tlx,11454.395430071938
model,Civic Sedan,11582.832254291892
model,GLK-Class,11454.87735778278
model,Q3,11666.935930535328
model,Pilot,12095.711772364182
model,A4,11454.395430071938
model,Tahoe,11680.947329979259
