feature,grid_value,pdp_mean
make,Ford,12469.249429223744
make,Subaru,13329.764269406392
make,Chevrolet,13449.808599695587
make,Toyota,13306.56792237443
make,Dodge,13427.815449010655
make,Honda,13318.2476217656
make,Nissan,11969.122526636225
make,BMW,14075.739535768644
make,Mercedes-Benz,13639.631468797566
make,Hyundai,12316.317732115676
make,Audi,13157.789193302891
make,Jeep,13157.789193302891
make,ford,13153.770928462707
make,chevy,11036.829337899544
make,Volkswagen,12854.253044140032
make,toyota,13724.522831050228
make,subaru,13157.789193302891
make,Lexus,17442.30384322679
make,honda,13157.789193302891
make,GMC,14901.653919330287
