feature,grid_value,pdp_mean
model,Outback,13266.094111776445
model,Neon,13171.85518962076
model,Silverado 1500,14554.737724550898
model,silverado 1500,11118.644311377246
model,Forester,13226.2000998004
model,Camry,10974.391516966067
model,Elantra,13260.585129740519
model,accord,13228.324650698603
model,Fusion,13228.324650698603
model,Rogue,13187.094111776449
model,Grand Caravan,13227.24141716567
model,tlx,10022.046606786427
model,Sonata,13228.324650698603
model,Civic Sedan,13177.939321357286
model,GLK-Class,13225.14500998004
model,CR-V EX,13228.324650698603
model,Q3,13228.324650698603
model,F-150,16031.362874251497
model,Grand Cherokee,13228.324650698603
model,CHEVELLE,13228.324650698603
