feature,grid_value,pdp_mean
year_num,1989.5,11242.904034469253
year_num,2002.0,7597.388562475519
year_num,2005.0,8330.347434390913
year_num,2007.0,8868.85722679201
year_num,2009.0,8989.63768115942
year_num,2011.0,9448.140031335683
year_num,2012.0,9336.369173521347
year_num,2013.0,9668.44633764199
year_num,2014.0,10370.520675955459
year_num,2015.0,11682.300346930782
year_num,2016.0,12651.50363717755
year_num,2017.0,12437.928711320013
year_num,2018.0,15398.494320407366
year_num,2019.0,15279.209725253202
year_num,2020.0,15112.558726428291
year_num,2022.0,20106.533881707797
