feature,grid_value,pdp_mean
year_num,1988.0,8720.918184723554
year_num,2002.0,7030.763048561
year_num,2004.8157894736842,9503.60530520933
year_num,2007.0,8413.383828699265
year_num,2008.0,8413.383828699265
year_num,2010.0,9406.127996164909
year_num,2011.0,9964.14317673378
year_num,2012.0,10825.454298497922
year_num,2013.0,10612.637424097155
year_num,2014.0,10949.70104551888
year_num,2015.0,11184.269597771994
year_num,2016.0,12164.709482719263
year_num,2017.0,13874.426270373922
year_num,2018.0,15704.647427293065
year_num,2019.0,17921.289485458612
year_num,2020.0,16441.328475551294
year_num,2021.9,22394.813039309684
