feature,grid_value,pdp_mean
mileage_num,23023.0,8851.420107526883
mileage_num,45570.22105263158,17089.26322580645
mileage_num,59985.39473684211,12614.421075268816
mileage_num,71241.0,15743.937892473117
mileage_num,80600.0,16936.14688172043
mileage_num,87717.53157894735,11473.934516129033
mileage_num,93146.0,11077.55
mileage_num,105082.15789473684,11999.153440860215
mileage_num,111000.0,10751.140107526882
mileage_num,116837.71052631577,9656.26247311828
mileage_num,120955.88421052632,9294.552365591397
mileage_num,126471.5052631579,9334.590860215052
mileage_num,130759.0,10522.880537634408
mileage_num,139096.0,9767.548387096775
mileage_num,145000.0,11229.1488172043
mileage_num,150000.0,10516.99311827957
mileage_num,158000.0,9795.406236559138
mileage_num,170000.0,7429.929677419354
mileage_num,180000.0,6579.102365591398
mileage_num,202899.99999999985,8197.185376344085
