feature,grid_value,pdp_mean
make,Ford,13993.2888172043
make,Subaru,13537.24860215054
make,Chevrolet,13547.999569892472
make,Dodge,12818.429677419355
make,Toyota,13507.262580645162
make,Honda,13629.847096774194
make,Nissan,11944.611075268818
make,BMW,13987.513333333334
make,Mercedes-Benz,13837.712043010752
make,Jeep,13815.227096774193
make,Hyundai,12636.473548387097
make,Audi,13379.360430107525
make,ford,13379.360430107525
make,Volkswagen,13062.585806451612
make,chevy,12076.012688172044
make,honda,13379.360430107525
make,toyota,13461.041075268815
make,Lexus,16677.023010752688
make,Chevy,13379.360430107525
make,subaru,13379.360430107525
