feature,grid_value,pdp_mean
make,Ford,13884.191259582563
make,Subaru,13236.207710816405
make,Chevrolet,13496.078451121928
make,Toyota,13338.307397459572
make,Dodge,12931.174416652679
make,Honda,13248.898354876614
make,Nissan,11710.172150411281
make,BMW,13779.912651782219
make,Mercedes-Benz,13370.13740137653
make,Audi,13182.721616025963
make,Jeep,13735.441357506576
make,Hyundai,12712.845867606735
make,ford,13182.721616025963
make,chevy,11870.064042303173
make,Volkswagen,12966.174304739523
make,toyota,13699.89631246153
make,honda,13182.721616025963
make,subaru,13131.517150691066
make,Lexus,15422.833249398467
make,CHEVROLET,13182.721616025963
