feature,grid_value,pdp_mean
mileage_num,23023.0,14131.606908462869
mileage_num,43368.173684210524,16338.03816925734
mileage_num,60000.0,10470.796373056995
mileage_num,71241.0,9892.709153713298
mileage_num,80367.89473684209,13612.09257340242
mileage_num,88133.0,9676.281519861832
mileage_num,93146.0,10734.727115716754
mileage_num,105189.0,11270.287910189983
mileage_num,112885.0,11256.356476683937
mileage_num,117543.5894736842,10211.255094991366
mileage_num,122826.97368421052,10425.328324697753
mileage_num,128846.71842105262,10003.56804835924
mileage_num,132907.43421052632,9236.962299531211
mileage_num,140000.0,9640.458672588207
mileage_num,147157.2921052632,10942.290624228966
mileage_num,150000.0,10699.304441154702
mileage_num,160899.2657894737,10381.440710584753
mileage_num,171154.6052631579,8153.492918825561
mileage_num,182234.21052631567,7014.8773747841105
mileage_num,208549.99999999974,6809.256476683938
