feature,grid_value,pdp_mean
year_num,1988.3,10482.9866954333
year_num,2002.0,7408.544947860481
year_num,2005.0,7532.115605897158
year_num,2007.0,8004.453434016542
year_num,2009.0,8238.463142754406
year_num,2010.0,8612.50179791442
year_num,2011.0,8947.919453434017
year_num,2012.0,9619.680780294857
year_num,2013.0,9699.43194893923
year_num,2014.0,10700.519083577336
year_num,2015.0,10970.285354702832
year_num,2016.0,11218.946026609134
year_num,2018.0,16721.70873786408
year_num,2019.0,16609.464940668826
year_num,2020.0,16175.02049622438
year_num,2022.0,22641.654081265733
