feature,grid_value,pdp_mean
make,Ford,12539.899946062567
make,Chevrolet,13170.224649406688
make,Subaru,12053.906598345919
make,Toyota,12414.404440848617
make,Dodge,11996.394911902195
make,Honda,11968.693545487236
make,Nissan,10687.069669183747
make,BMW,12811.753955411723
make,Mercedes-Benz,12219.731121898598
make,Audi,12051.151474289825
make,Jeep,12452.186533621001
make,ford,12051.151474289825
make,Hyundai,11275.304117224021
make,chevy,12051.151474289825
make,subaru,11868.038924847178
make,Lexus,15000.392484717726
make,Volkswagen,12051.151474289825
make,toyota,12667.565893563467
make,honda,12051.151474289825
make,Chevy,11966.30699388709
