feature,grid_value,pdp_mean
model,Neon,12258.447396386822
model,Outback,12278.602904711299
model,Silverado 1500,13311.645412681544
model,silverado 1500,10386.052249380093
model,accord,12250.913567127169
model,Forester,12261.147360963514
model,Camry,12250.913567127169
model,Elantra,12248.668614948636
model,Fusion,12210.460148777896
model,F-150,13937.817038611405
model,Rogue,12066.368250594604
model,Grand Caravan,12270.37867516826
model,tlx,12250.913567127169
model,Q3,12251.669854764436
model,Impreza,12227.376372653205
model,Civic Sedan,12185.2493800921
model,GLK-Class,12250.913567127169
model,Q50,12357.110166489549
model,Pilot,12250.913567127169
model,Grand Cherokee,12250.913567127169
