feature,grid_value,pdp_mean
year_num,1988.0,11260.989768976899
year_num,2002.0,8997.693564356436
year_num,2005.0,9411.281683168318
year_num,2007.0,10023.37508250825
year_num,2009.0,9723.628382838286
year_num,2010.0,10302.342574257427
year_num,2011.0,10276.329207920791
year_num,2012.0,10161.047524752476
year_num,2013.0,11214.247359735973
year_num,2014.0,11863.79900990099
year_num,2015.0,12362.132343234323
year_num,2016.0,13501.960726072606
year_num,2018.0,16704.395426685525
year_num,2019.0,17921.197406883544
year_num,2020.0,16125.32991513437
year_num,2022.0,18790.17100424328
