feature,grid_value,pdp_mean
make,Ford,13957.111986001748
make,Subaru,13525.518591426071
make,Chevrolet,13577.222440944883
make,Dodge,13176.155074365706
make,Toyota,13283.49321959755
make,Nissan,12130.677384076993
make,Honda,13296.884076990375
make,BMW,13861.295275590552
make,Mercedes-Benz,13821.4864391951
make,Jeep,13731.209755030619
make,Audi,13423.591207349082
make,Hyundai,12539.345800524934
make,ford,13272.02121609799
make,Volkswagen,13047.457349081365
make,chevy,11995.008530183726
make,honda,13272.02121609799
make,toyota,13360.194225721785
make,Lexus,15248.594050743659
make,Land Rover,14103.650699912512
make,Chevy,13272.02121609799
