feature,grid_value,pdp_mean
year_num,1992.05,10713.326115485566
year_num,2002.0,9424.19072615923
year_num,2005.0,10283.622703412073
year_num,2007.0,9589.572834645669
year_num,2009.0,9925.405074365703
year_num,2011.0,9611.583989501312
year_num,2012.0,9487.280511811023
year_num,2013.0,9192.38888888889
year_num,2014.0,10373.636045494313
year_num,2015.0,12429.82305336833
year_num,2016.0,13063.717410323708
year_num,2016.713157894737,13646.805118110236
year_num,2018.0,15723.097200349956
year_num,2019.0,15251.66019247594
year_num,2020.0,15008.208748906387
year_num,2022.0,20094.472003499563
