feature,grid_value,pdp_mean
mileage_num,23023.0,8779.284230096238
mileage_num,44443.53421052632,15632.307852143484
mileage_num,59985.0,12671.010061242347
mileage_num,71046.29736842104,11289.75721784777
mileage_num,80143.6842105263,14736.64545056868
mileage_num,87713.0,11437.285761154855
mileage_num,93146.0,10977.654527559054
mileage_num,105076.0,11596.517169728784
mileage_num,110488.26578947365,10763.660433070867
mileage_num,116694.0,8935.485783027121
mileage_num,120914.94736842105,9559.807305336835
mileage_num,126000.0,9424.300524934382
mileage_num,130759.0,10041.42847769029
mileage_num,139096.0,10317.517497812772
mileage_num,145072.74210526317,11685.32327209099
mileage_num,150000.0,10819.47419072616
mileage_num,158000.0,11875.66557305337
mileage_num,170000.0,7487.80293088364
mileage_num,180000.0,6880.035870516186
mileage_num,201926.2999999999,6409.185476815399
