feature,grid_value,pdp_mean
year_num,1988.0,7947.285442986521
year_num,2002.0,8522.667432482967
year_num,2004.0,8928.908402842138
year_num,2007.0,8906.497683039852
year_num,2008.0,9085.6906085882
year_num,2010.0,10080.481309854804
year_num,2011.0,10720.956904541243
year_num,2012.0,10572.033518690147
year_num,2013.0,10889.555452579547
year_num,2014.0,11098.452425084955
year_num,2015.0,11170.056070435588
year_num,2016.0,12230.62079085573
year_num,2017.0,13603.733333333332
year_num,2018.0,16172.802444944615
year_num,2019.0,16618.09160157112
year_num,2020.0,16296.205596010417
year_num,2021.0,17838.630537534755
